"lon","lat","company","location","industry"
-77.1068,38.88,"AES","Arlington, VA","Utilities: Gas and Electric"
-74.0059,40.7128,"Colgate-Palmolive","New York, NY","Household and Personal Products"
-71.2356,42.3765,"Global Partners","Waltham, MA","Wholesalers: Diversified"
-71.2356,42.3765,"Thermo Fisher Scientific","Waltham, MA","Scientific,Photographic and Control Equipment"
-122.419,37.7749,"PG&E Corp.","San Francisco, CA","Utilities: Gas and Electric"
-80.0534,26.8798,"NextEra Energy","Juno Beach, FL","Utilities: Gas and Electric"
-82.9988,39.9612,"American Electric Power","Columbus, OH","Utilities: Gas and Electric"
-87.8445,42.1711,"Baxter International","Deerfield, IL","Medical Products and Equipment"
-90.1994,38.627,"Centene","St. Louis, MO","Health Care: Insurance and Managed Care"
-122.332,47.6062,"Starbucks","Seattle, WA","Food Services"
-122.419,37.7749,"Gap","San Francisco, CA","Specialty Retailers: Apparel"
-74.0059,40.7128,"Bank of New York Mellon Corp.","New York, NY","Commercial Banks"
-116.215,43.6187,"Micron Technology","Boise, ID","Semiconductors and Other Electronic Components"
-82.64,27.7731,"Jabil Circuit","St. Petersburg, FL","Semiconductors and Other Electronic Components"
-79.9959,40.4406,"PNC Financial Services Group","Pittsburgh, PA","Commercial Banks"
-95.3698,29.7604,"Kinder Morgan","Houston, TX","Pipelines"
-80.1289,26.3683,"Office Depot","Boca Raton, FL","Specialty Retailers: Other"
-74.0059,40.7128,"Bristol-Myers Squibb","New York, NY","Pharmaceuticals"
-74.6672,40.3573,"NRG Energy","Princeton, NJ","Energy"
-90.1994,38.627,"Monsanto","St. Louis, MO","Chemicals"
-79.9959,40.4406,"PPG Industries","Pittsburgh, PA","Chemicals"
-84.388,33.749,"Genuine Parts","Atlanta, GA","Wholesalers: Diversified"
-74.0059,40.7128,"Omnicom Group","New York, NY","Advertising, marketing"
-87.7878,42.0698,"Illinois Tool Works","Glenview, IL","Industrial Machinery"
-92.6663,33.2076,"Murphy USA","El Dorado, AR","Specialty Retailers: Other"
-93.1566,45.0502,"Land O'Lakes","Arden Hills, MN","Food Consumer Products"
-106.442,31.7776,"Western Refining","El Paso, TX","Petroleum Refining"
-117.795,33.6839,"Western Digital","Irvine, CA","Computer Peripherals"
-81.519,41.0814,"FirstEnergy","Akron, OH","Utilities: Gas and Electric"
-75.1652,39.9526,"Aramark","Philadelphia, PA","Diversified Outsourcing Services"
-104.988,39.6478,"DISH Network","Englewood, CO","Telecommunications"
-115.14,36.1699,"Las Vegas Sands","Las Vegas, NV","Hotels, Casinos, Resorts"
-85.1797,42.3212,"Kellogg","Battle Creek, MI","Food Consumer Products"
-74.0059,40.7128,"Loews","New York, NY","Insurance: Property and Casualty (Stock)"
-74.0059,40.7128,"CBS","New York, NY","Entertainment"
-93.09,44.9537,"Ecolab","St. Paul, MN","Chemicals"
-97.7431,30.2672,"Whole Foods Market","Austin, TX","Food and Drug Stores"
-74.5005,40.6342,"Chubb","Warren, NJ","Insurance: Property and Casualty (Stock)"
-118.609,34.1654,"Health Net","Woodland Hills, CA","Health Care: Insurance and Managed Care"
-95.3698,29.7604,"Waste Management","Houston, TX","Waste Management"
-95.3698,29.7604,"Apache","Houston, TX","Mining, Crude-Oil Production"
-71.4128,41.824,"Textron","Providence, RI","Aerospace and Defense"
-121.989,37.5483,"Synnex","Fremont, CA","Wholesalers: Electronics and Office Equipment"
-77.0947,38.9847,"Marriott International","Bethesda, MD","Hotels, Casinos, Resorts"
-74.0059,40.7128,"Viacom","New York, NY","Entertainment"
-75.3599,40.0462,"Lincoln National","Radnor, PA","Insurance: Life, Health (stock)"
-122.332,47.6062,"Nordstrom","Seattle, WA","General Merchandisers"
-93.4708,44.8547,"C.H. Robinson Worldwide","Eden Prairie, MN","Transportation and Logistics"
-118.073,34.0806,"Edison International","Rosemead, CA","Utilities: Gas and Electric"
-95.3698,29.7604,"Marathon Oil","Houston, TX","Mining, Crude-Oil Production"
-85.7585,38.2527,"Yum Brands","Louisville, KY","Food Services"
-77.1711,38.8823,"Computer Sciences","Falls Church, VA","Information Technology Services"
-81.6944,41.4993,"Parker-Hannifin","Cleveland, OH","Industrial Machinery"
-104.99,39.7392,"DaVita HealthCare Partners","Denver, CO","Health Care: Medical Facilities"
-77.436,37.5407,"CarMax","Richmond, VA","Automotive Retailing, Services"
-96.797,32.7767,"Texas Instruments","Dallas, TX","Semiconductors and Other Electronic Components"
-82.4572,27.9506,"WellCare Health Plans","Tampa, FL","Health Care: Insurance and Managed Care"
-74.0059,40.7128,"Marsh & McLennan","New York, NY","Diversified Financials"
-74.0059,40.7128,"Consolidated Edison","New York, NY","Utilities: Gas and Electric"
-95.9928,36.154,"Oneok","Tulsa, OK","Pipelines"
-122.271,37.5585,"Visa","Foster City, CA","Financial Data Services"
-118.145,34.1478,"Jacobs Engineering Group","Pasadena, CA","Engineering, Construction"
-81.6557,30.3322,"CSX","Jacksonville, FL","Railroads"
-90.0715,29.9511,"Entergy","New Orleans, LA","Utilities: Gas and Electric"
-122.182,37.453,"Facebook","Menlo Park, CA","Internet Services and Retailing"
-77.436,37.5407,"Dominion Resources","Richmond, VA","Utilities: Gas and Electric"
-74.0059,40.7128,"Leucadia National","New York, NY","Food Production"
-74.2765,40.9254,"Toys ""R"" Us","Wayne, NJ","Specialty Retailers: Other"
-83.0458,42.3314,"DTE Energy","Detroit, MI","Utilities: Gas and Electric"
-93.265,44.9778,"Ameriprise Financial","Minneapolis, MN","Diversified Financials"
-79.792,36.0726,"VF","Greensboro, NC","Apparel"
-73.454,41.3948,"Praxair","Danbury, CT","Chemicals"
-96.6989,33.0198,"J.C. Penney","Plano, TX","General Merchandisers"
-74.2938,40.8207,"Automatic Data Processing","Roseland, NJ","Diversified Outsourcing Services"
-74.0059,40.7128,"L-3 Communications","New York, NY","Aerospace and Defense"
-87.9654,42.2393,"CDW","Vernon Hills, IL","Information Technology Services"
-74.0059,40.7128,"Guardian Life Ins. Co. of America","New York, NY","Insurance: Life, Health (Mutual)"
-93.265,44.9778,"Xcel Energy","Minneapolis, MN","Utilities: Gas and Electric"
-76.2859,36.8508,"Norfolk Southern","Norfolk, VA","Railroads"
-75.4902,40.6084,"PPL","Allentown, PA","Utilities: Gas and Electric"
-87.6298,41.8781,"R.R. Donnelley & Sons","Chicago, IL","Publishing, Printing"
-111.891,40.7608,"Huntsman","Salt Lake City, UT","Chemicals"
-74.2632,40.6976,"Bed Bath & Beyond","Union, NJ","Specialty Retailers: Other"
-72.7795,41.6612,"Stanley Black & Decker","New Britain, CT","Home Equipment, Furnishings"
-82.9988,39.9612,"L Brands","Columbus, OH","Specialty Retailers: Apparel"
-104.988,39.6478,"Liberty Interactive","Englewood, CO","Internet Services and Retailing"
-118.609,34.1654,"Farmers Insurance Exchange","Woodland Hills, CA","Insurance: Property and Casualty (Mutual)"
-84.388,33.749,"First Data","Atlanta, GA","Financial Data Services"
-81.6944,41.4993,"Sherwin-Williams","Cleveland, OH","Chemicals"
-74.0059,40.7128,"BlackRock","New York, NY","Securities"
-74.0059,40.7128,"Voya Financial","New York, NY","Insurance: Life, Health (stock)"
-121.936,37.7022,"Ross Stores","Dublin, CA","Specialty Retailers: Apparel"
-117.161,32.7157,"Sempra Energy","San Diego, CA","Utilities: Gas and Electric"
-74.0059,40.7128,"Estee Lauder","New York, NY","Household and Personal Products"
-79.9959,40.4406,"H.J. Heinz","Pittsburgh, PA","Food Consumer Products"
-90.5771,38.6631,"Reinsurance Group of America","Chesterfield, MO","Insurance: Life, Health (stock)"
-74.1724,40.7357,"Public Service Enterprise Group","Newark, NJ","Utilities: Gas and Electric"
-95.3698,29.7604,"Cameron International","Houston, TX","Oil and Gas Equipment, Services"
-88.0748,41.8011,"Navistar International","Lisle, IL","Motor Vehicles and Parts"
-98.4936,29.4241,"CST Brands","San Antonio, TX","Specialty Retailers: Other"
-71.0589,42.3601,"State Street Corp.","Boston, MA","Commercial Banks"
-85.3097,35.0456,"Unum Group","Chattanooga, TN","Insurance: Life, Health (stock)"
-77.1773,38.9339,"Hilton Worldwide Holdings","McLean, VA","Hotels, Casinos, Resorts"
-80.7237,35.1168,"Family Dollar Stores","Matthews, NC","General Merchandisers"
-93.6091,41.6005,"Principal Financial","Des Moines, IA","Insurance: Life, Health (stock)"
-118.244,34.0522,"Reliance Steel & Aluminum","Los Angeles, CA","Metals"
-75.4902,40.6084,"Air Products & Chemicals","Allentown, PA","Chemicals"
-74.0059,40.7128,"Assurant","New York, NY","Insurance: Property and Casualty (Stock)"
-95.998,41.2524,"Peter Kiewit Sons'","Omaha, NE","Engineering, Construction"
-73.4151,40.7934,"Henry Schein","Melville, NY","Wholesalers: Health Care"
-74.0117,40.8932,"Cognizant Technology Solutions","Teaneck, NJ","Information Technology Services"
-115.14,36.1699,"MGM Resorts International","Las Vegas, NV","Hotels, Casinos, Resorts"
-87.8406,42.2586,"W.W. Grainger","Lake Forest, IL","Wholesalers: Diversified"
-95.3698,29.7604,"Group 1 Automotive","Houston, TX","Automotive Retailing, Services"
-80.2442,36.0999,"BB&T Corp.","Winston-Salem, NC","Commercial Banks"
-84.2135,33.9412,"Rock-Tenn","Norcross, GA","Packaging, Containers"
-79.9414,37.271,"Advance Auto Parts","Roanoke, VA","Specialty Retailers: Other"
-83.0458,42.3314,"Ally Financial","Detroit, MI","Commercial Banks"
-84.1446,34.0029,"AGCO","Duluth, GA","Construction and Farm Machinery"
-77.0547,42.1429,"Corning","Corning, NY","Network and Other Communications Equipment"
-71.1097,42.3736,"Biogen","Cambridge, MA","Pharmaceuticals"
-95.9928,36.154,"NGL Energy Partners","Tulsa, OK","Wholesalers: Diversified"
-85.5872,42.2917,"Stryker","Kalamazoo, MI","Medical Products and Equipment"
-118.194,33.7701,"Molina Healthcare","Long Beach, CA","Health Care: Insurance and Managed Care"
-122.676,45.5231,"Precision Castparts","Portland, OR","Aerospace and Defense"
-87.897,42.1675,"Discover Financial Services","Riverwoods, IL","Commercial Banks"
-77.436,37.5407,"Genworth Financial","Richmond, VA","Insurance: Life, Health (stock)"
-82.5618,36.5484,"Eastman Chemical","Kingsport, TN","Chemicals"
-96.797,32.7767,"Dean Foods","Dallas, TX","Food Consumer Products"
-90.049,35.1495,"AutoZone","Memphis, TN","Specialty Retailers: Other"
-73.7146,41.0409,"MasterCard","Purchase, NY","Financial Data Services"
-77.3733,37.6088,"Owens & Minor","Mechanicsville, VA","Wholesalers: Health Care"
-92.9746,43.6666,"Hormel Foods","Austin, MN","Food Consumer Products"
-97.0781,32.9343,"GameStop","Grapevine, TX","Specialty Retailers: Other"
-83.2341,42.6875,"Autoliv","Auburn Hills, MI","Motor Vehicles and Parts"
-95.3698,29.7604,"CenterPoint Energy","Houston, TX","Utilities: Gas and Electric"
-81.6557,30.3322,"Fidelity National Financial","Jacksonville, FL","Insurance: Property and Casualty (Stock)"
-80.8431,35.2271,"Sonic Automotive","Charlotte, NC","Automotive Retailing, Services"
-84.388,33.749,"HD Supply Holdings","Atlanta, GA","Wholesalers: Diversified"
-73.5387,41.0534,"Charter Communications","Stamford, CT","Telecommunications"
-75.1652,39.9526,"Crown Holdings","Philadelphia, PA","Packaging, Containers"
-121.955,37.3541,"Applied Materials","Santa Clara, CA","Semiconductors and Other Electronic Components"
-93.4555,45.0105,"Mosaic","Plymouth, MN","Chemicals"
-118.244,34.0522,"CBRE Group","Los Angeles, CA","Real estate"
-74.0059,40.7128,"Avon Products","New York, NY","Household and Personal Products"
-112.074,33.4484,"Republic Services","Phoenix, AZ","Waste Management"
-75.3836,40.1013,"Universal Health Services","King of Prussia, PA","Health Care: Medical Facilities"
-81.3792,28.5383,"Darden Restaurants","Orlando, FL","Food Services"
-85.1394,41.0793,"Steel Dynamics","Fort Wayne, IN","Metals"
-84.388,33.749,"SunTrust Banks","Atlanta, GA","Commercial Banks"
-115.14,36.1699,"Caesars Entertainment","Las Vegas, NV","Hotels, Casinos, Resorts"
-95.3698,29.7604,"Targa Resources","Houston, TX","Pipelines"
-76.2875,36.7682,"Dollar Tree","Chesapeake, VA","Specialty Retailers: Other"
-74.0059,40.7128,"News Corp.","New York, NY","Publishing, Printing"
-105.087,39.9205,"Ball","Broomfield, CO","Packaging, Containers"
-93.265,44.9778,"Thrivent Financial for Lutherans","Minneapolis, MN","Insurance: Life, Health (Mutual)"
-83.2697,42.2409,"Masco","Taylor, MI","Home Equipment, Furnishings"
-122.326,37.563,"Franklin Resources","San Mateo, CA","Securities"
-74.4174,40.8653,"Avis Budget Group","Parsippany, NJ","Automotive Retailing, Services"
-80.2442,36.0999,"Reynolds American","Winston-Salem, NC","Tobacco"
-74.2057,41.0168,"Becton Dickinson","Franklin Lakes, NJ","Medical Products and Equipment"
-73.4082,41.1177,"Priceline Group","Norwalk, CT","Internet Services and Retailing"
-117.795,33.6839,"Broadcom","Irvine, CA","Semiconductors and Other Electronic Components"
-87.8406,42.2586,"Tenneco","Lake Forest, IL","Motor Vehicles and Parts"
-75.1196,39.9259,"Campbell Soup","Camden, NJ","Food Consumer Products"
-118.244,34.0522,"AECOM","Los Angeles, CA","Engineering, Construction"
-83.4838,42.2203,"Visteon","Van Buren Township, MI","Motor Vehicles and Parts"
-86.7828,36.0331,"Delek US Holdings","Brentwood, TN","Petroleum Refining"
-88.0112,41.8089,"Dover","Downers Grove, IL","Industrial Machinery"
-83.2341,42.6875,"BorgWarner","Auburn Hills, MI","Motor Vehicles and Parts"
-80.1289,26.3683,"Jarden","Boca Raton, FL","Home Equipment, Furnishings"
-75.3836,40.1013,"UGI","King of Prussia, PA","Energy"
-92.6663,33.2076,"Murphy Oil","El Dorado, AR","Mining, Crude-Oil Production"
-74.0059,40.7128,"PVH","New York, NY","Apparel"
-122.408,37.6547,"Core-Mark Holding","South San Francisco, CA","Wholesalers: Food and Grocery"
-95.3698,29.7604,"Calpine","Houston, TX","Energy"
-97.3308,32.7555,"D.R. Horton","Fort Worth, TX","Homebuilders"
